from_section,to_section,latitude,longitude,label
Northwest Territories,Nunavut,65.0116609,-109.7209871,unnamed [secondary]
Alberta,Saskatchewan,48.9996924,-109.9980409,unnamed [track]
Ontario,Québec,45.4590887,-75.7038590,Rue Jacques-Cartier [residential]
Ontario,Québec,45.4464322,-75.7164493,Rue Bériault [residential]
Ontario,Québec,45.4590321,-75.7001681,Rue Bruyère [residential]
Ontario,Québec,45.4589995,-75.7012762,Rue Cousineau [residential]
Ontario,Québec,45.4329682,-75.7311940,Rue Crémazie [residential]
Ontario,Québec,45.4329701,-75.7321948,Rue Lois [residential]
Ontario,Québec,45.4318256,-75.7316160,unnamed [service]
Ontario,Québec,45.4288653,-75.7338040,Rue Saint-Jean-Bosco [residential]
Ontario,Québec,45.4262229,-75.7370943,Promenade du Lac-des-Fées [tertiary]
Ontario,Québec,45.4267494,-75.7361464,Rue Lavigne [residential]
Ontario,Québec,45.4274762,-75.7363816,Rue Bienville [residential]
Ontario,Québec,45.4281446,-75.7343888,Rue Booth [residential]
Ontario,Québec,45.4254214,-75.7382698,Rue Boucherville [residential]
Ontario,Québec,45.4242930,-75.7385610,Rue Chateaubriand [residential]
Ontario,Québec,45.4232446,-75.7394629,Rue de la Coopération [residential]
Ontario,Québec,45.3878469,-75.8306480,Rue du Riesling [residential]
Ontario,Québec,45.3891684,-75.8311122,Rue du Buzet [residential]
Ontario,Québec,45.3884268,-75.8287503,Rue du Buzet [residential]
Ontario,Québec,45.3882782,-75.8261418,Rue Walter-Herbert [residential]
Ontario,Québec,45.3890671,-75.8245021,Rue Bellevue [residential]
Ontario,Québec,45.3875553,-75.8374220,Rue Glenholm [residential]
Ontario,Québec,45.3884726,-75.8455267,Rue Woods [residential]
Ontario,Québec,45.3864710,-75.8376988,Rue Oakwood [residential]
Ontario,Québec,45.3865131,-75.8387574,Rue Butternut [residential]
Ontario,Québec,45.3868189,-75.8398366,Rue Saratoga [residential]
Ontario,Québec,45.3878789,-75.8434088,Rue René-Thérien [residential]
Ontario,Québec,45.3883123,-75.8444296,Rue Lortie [residential]
Ontario,Québec,45.3872880,-75.8472608,Rue Chartrand [residential]
Ontario,Québec,45.3892204,-75.8466262,Rue Chartrand [residential]
Ontario,Québec,45.3877620,-75.8484476,Rue Riverview [residential]
Ontario,Québec,45.4191120,-75.7432555,Rue Coallier [residential]
Ontario,Québec,45.3885678,-75.8120077,Chemin Maple Grove [residential]
Ontario,Québec,45.3889899,-75.8097129,Chemin Garden [residential]
Ontario,Québec,45.3900651,-75.8053810,Chemin Vanier [tertiary]
Ontario,Québec,45.3897245,-75.8151813,Rue Guilford-Booth [residential]
Ontario,Québec,45.3890854,-75.8143457,Rue Gérald-Dubois [residential]
Ontario,Québec,45.3918560,-75.8074582,Promenade Lakeview [residential]
Ontario,Québec,45.3920845,-75.7994642,Promenade Crescent [residential]
Ontario,Québec,45.3912415,-75.7982322,Chemin Robert-Stewart [residential]
Ontario,Québec,45.3924390,-75.7967548,Rue Jean-Gascon [residential]
Manitoba,Saskatchewan,49.2664216,-101.3876419,PR 445 [secondary]
Ontario,Québec,45.6347373,-74.5987218,Rue Principale [tertiary]
Alberta,British Columbia,49.5507270,-114.6812131,Ptolemy Pass Trail [track]
Alberta,British Columbia,49.6310917,-114.6991536,unnamed [track]
Alberta,British Columbia,49.5725950,-114.7299480,Tent Mountain Pass Trail [track]
Alberta,British Columbia,49.5728425,-114.7194782,unnamed [track]
Alberta,British Columbia,49.9231064,-114.6856432,North Fork Pass Trail [track]
New Brunswick,Québec,47.8969466,-66.9543033,Chemin Riverside [unclassified]
Nova Scotia,Nova Scotia,45.737930,-62.689158,Caribou Terminal [ferry]
Prince Edward Island,Prince Edward Island,45.954223,-62.748748,Wood Islands Terminal [ferry]
British Columbia,Yukon,59.9951122,-128.5511500,BC 97 [trunk]
British Columbia,Yukon,59.9957049,-134.6677819,YK 2 [trunk]
Alberta,British Columbia,56.3165430,-120.0005855,64 [primary]
Alberta,British Columbia,56.0143463,-119.9990095,Township Road 812 [unclassified]
Alberta,British Columbia,56.5242090,-119.9959093,unnamed [unclassified]
Alberta,British Columbia,56.6610287,-120.0008193,unnamed [unclassified]
Alberta,British Columbia,56.6697328,-119.9970923,unnamed [unclassified]
Alberta,British Columbia,56.2173657,-119.9981599,Township Road 834 [tertiary]
Alberta,British Columbia,56.1592874,-119.9968971,Township Road 830 [unclassified]
Alberta,British Columbia,56.1882692,-119.9974425,717 [secondary]
Alberta,British Columbia,55.0387509,-119.9994171,unnamed [unclassified]
Alberta,British Columbia,55.2578191,-119.9961762,671 [secondary]
Alberta,British Columbia,55.7813052,-120.0000039,Township Road 784 [unclassified]
Alberta,British Columbia,55.0224126,-119.9985775,unnamed [unclassified]
Alberta,British Columbia,55.0728893,-119.9984378,unnamed [unclassified]
Alberta,British Columbia,55.0771075,-120.0011750,unnamed [unclassified]
Alberta,British Columbia,55.5485920,-119.9978337,unnamed [unclassified]
Alberta,British Columbia,55.6213453,-119.9988547,Township Road 765 [unclassified]
Alberta,British Columbia,55.4794376,-119.9937725,43 [trunk]
Alberta,British Columbia,55.9561784,-119.9959791,unnamed [unclassified]
Alberta,British Columbia,55.8105757,-119.9990166,Township Road 785 [unclassified]
Alberta,British Columbia,55.8615740,-119.9969849,Township Road 793A [unclassified]
Alberta,British Columbia,55.9270828,-119.9997791,Township Road 802 [unclassified]
Alberta,British Columbia,55.6068186,-119.9988841,Township Road 764 [unclassified]
Alberta,British Columbia,55.0910386,-119.9994999,unnamed [unclassified]
Alberta,British Columbia,54.9984287,-119.9972376,unnamed [tertiary]
Alberta,British Columbia,49.6303527,-114.6914614,unnamed [unclassified]
Alberta,British Columbia,49.6470265,-114.6806914,Phillipps Pass Road [track]
Alberta,British Columbia,49.6318369,-114.6868383,unnamed [unclassified]
Alberta,British Columbia,49.6320906,-114.6798729,unnamed [unclassified]
Alberta,Saskatchewan,52.7541163,-110.0020863,Township Road 440 [unclassified]
Alberta,Saskatchewan,51.2414663,-110.0012786,Township Road 264 [unclassified]
Alberta,Saskatchewan,50.1553247,-110.0007830,unnamed [unclassified]
Ontario,Québec,48.1464267,-79.5209894,66 [trunk]
New Brunswick,Québec,47.3102335,-69.0025112,2e Rang [unclassified]
New Brunswick,Québec,47.3745063,-68.7254293,Route du Lac-Baker [tertiary]
New Brunswick,Québec,47.3725021,-68.7374543,289 [primary]
New Brunswick,Québec,47.4926319,-68.4781792,unnamed [track]
New Brunswick,Québec,47.8698122,-68.3751150,unnamed [unclassified]
New Brunswick,Québec,47.4168476,-68.6085532,11e Rang [unclassified]
New Brunswick,Québec,47.3809500,-68.7122588,Route des Chalets [tertiary]
New Brunswick,Québec,47.4892128,-68.4841939,Avenue de la Madawaska [tertiary]
Ontario,Québec,46.3645273,-78.7301929,656 [tertiary]
Ontario,Québec,46.2363121,-77.9965693,unnamed [track]
Ontario,Québec,46.2653854,-78.1682578,unnamed [track]
Ontario,Québec,46.2693852,-78.1771481,unnamed [track]
Ontario,Québec,46.3649508,-78.7317441,Laurentian Crescent [residential]
Ontario,Québec,46.3669427,-78.7318509,Laurentian Crescent [residential]
Ontario,Québec,46.2644421,-78.1394008,unnamed [track]
Ontario,Québec,46.2717785,-78.2406211,unnamed [track]
Ontario,Québec,46.2646787,-78.1481909,unnamed [track]
Ontario,Québec,45.3238652,-74.4753031,CR 25 [tertiary]
Ontario,Québec,45.6349950,-74.8959914,CR 15 [secondary]
Ontario,Québec,45.6367837,-74.9329597,CR 24 [secondary]
Ontario,Québec,45.3911045,-74.4547075,Gore Road [residential]
Ontario,Québec,45.5273511,-74.4106534,Chemin Domaine Road [unclassified]
Ontario,Québec,45.3491196,-74.4686678,Concession Road 10 [unclassified]
Ontario,Québec,45.6321932,-74.7892239,Du Domaine Road [residential]
Ontario,Québec,45.6334068,-74.8031844,Du Domaine Road [residential]
Ontario,Québec,45.5085943,-74.4177022,Chemin Concession 3 Road [unclassified]
Ontario,Québec,45.3559785,-74.4620100,McIntee Road [unclassified]
Ontario,Québec,45.6372240,-74.9402097,Presqu'ile Road [residential]
Ontario,Québec,45.4270436,-74.4408125,CR 18 [secondary]
Ontario,Québec,45.3471052,-74.4673778,Don Boudria Road [track]
Ontario,Québec,45.4619044,-74.4298779,Chemin de la Grande Montée Road [tertiary]
Ontario,Québec,45.4606481,-74.4285949,Chemin Concession 7 Road [tertiary]
Ontario,Québec,45.4904180,-74.4202438,Chemin Concession 5 Road [unclassified]
Ontario,Québec,45.4913145,-74.4195566,CR 10 [secondary]
Alberta,British Columbia,49.6300075,-114.6900187,3 [trunk]
Ontario,Québec,45.5848958,-74.4337313,Montée Saint-Philippe [tertiary]
Newfoundland,Newfoundland,51.204193,-56.774574,Blanc-Sablon terminal [ferry]
